Policy_ID,Applicant_Age,Gender,Marital_Status,Vehicle_Year,Vehicle_Make,Vehicle_Model,Annual_Mileage,Years_Driving_Exp,At_Fault_Accidents_5yr,Speeding_Tickets_3yr,DUI,Credit_Score,Coverage_Type,Prior_Insurance_Carrier,Claim_Amount_Last_Year,State
AUTO-1234,75,fe,Widowed,2004,Toyta,Corolla,7014,59,1,0,Y,743,LIAB,Liberty Mutual,15000,TX
AUTO-1235,42,fe,Widowed,2005,Frod,F-150,9132,24,0,1,Y,335,Liability,American Family,500,MI
AUTO-1236,49,FEMALE,Widowed,2001,Toyta,Corolla,15550,32,1,0,TRUE,555,LIAB,Travelers,0,CO
AUTO-1237,68,fe,Divorced,2015,BMW,5 Series,14273,48,1,1,N,576,COMP,State Farm,3000,MD
AUTO-1238,32,Male,Divorced,2001,Nissan,Rogue,14712,12,0,0,Yes,553,LIAB,Allstate,1200,IN
AUTO-1239,70,fe,Single,2024,Honnda,Accord,14626,53,0,0,TRUE,625,LIAB,USAA,0,AZ
AUTO-1240,54,F,Married,2018,Honnda,Accord,20764,36,0,1,Yes,392,Comprehensive,Allstate,500,TX
AUTO-1241,,FEMALE,Single,2010,Jeep,Wrangler,7275,33,2,0,No,360,Comprehensive,Progressive,0,FL
AUTO-1242,72,F,Divorced,2002,Frod,Focus,22202,56,0,1,No,439,COMP,Liberty Mutual,15000,WA
AUTO-1243,29,fe,Divorced,2007,Jeep, Wrangler,15398,11,2,3,No,430,COMP,State Farm,7500,MO
AUTO-1244,20,M,Divorced,2019,Honnda,Civic,19258,3,0,3,Yes,543,Collision,USAA,0,NY
AUTO-1245,70,fe,Divorced,2014,Toyota,Corolla,9870,53,2,0,No,562,Comprehensive,State Farm,0,CO
AUTO-1246,46,fe,Widowed,2005,Chevrolet,Malibu,15409,28,1,1,Yes,790,Liability,Allstate,0,NJ
AUTO-1247,22,Male,Divorced,2000,Frod,Focus,6431,6,0,0,N,464,LIAB,Geico,0,WA
AUTO-1248,56,F,Widowed,2022,Toyota,Corolla,24418,39,1,1,Y,354,Comprehensive,USAA,500,IL
AUTO-1249,44,fe,Divorced,2021,Ford,Focus,10783,28,0,1,TRUE,802,COMP,State Farm,3000,TX
AUTO-1250,45,Male,Divorced,2021,Jeep,Grand Cherokee,9542,29,0,0,Y,598,Comprehensive,Nationwide,0,MI
AUTO-1251,68,FEMALE,Widowed,2015,Ford,F-150,24032,48,1,0,No,690,Collision,Progressive,15000,CA
AUTO-1252,34,FEMALE,Widowed,2008,Honnda,Accord,21489,18,0,3,Yes,387,LIAB,USAA,7500,
AUTO-1253,32,F,Single,2012,BMW,5 Series,20547,13,1,0,N,606,Comprehensive,Liberty Mutual,0,MA
AUTO-1254,54,F,Married,2003,Nissan,Altima,8477,37,0,0,Yes,733,Comprehensive,Liberty Mutual,500,OH
AUTO-1255,71,F,Divorced,2010,Toyta,Camry,15717,51,1,2,No,582,Liability,Nationwide,0,MD
AUTO-1256,55,F,Widowed,2003,Chevrolet,Silverado,7856,35,1,2,Yes,408,Liability,Geico,1200,IN
AUTO-1257,74,male,Widowed,2008,Chevrolet,Equinox,18911,54,1,1,Yes,476,Collision,Liberty Mutual,0,MD
AUTO-1258,56,fe,Widowed,2001,Chevrolet,Malibu,10784,40,2,1,No,681,Comprehensive,USAA,1200,MI
AUTO-1259,35,FEMALE,Single,2007,Honda,Accord,17519,17,0,3,N,391,COMP,Nationwide,500,VA
AUTO-1260,65,FEMALE,Divorced,2001,BMW,3 Series,5150,47,2,2,N,438,Liability,American Family,0,PA
AUTO-1261,30,M,Single,2007,Toyota,Corolla,4656,12,2,0,No,677,COLL,Travelers,7500,FL
AUTO-1262,61,Male,Married,2011,Nissan,Rogue,17617,44,1,2,TRUE,658,Collision,Progressive,1200,NY
AUTO-1263,36,Male,Widowed,2001,Honda,CR-V,10022,19,2,0,Y,575,LIAB,Liberty Mutual,0,TX
AUTO-1264,48,M,Married,2019,Toyota,Camry,11270,28,0,3,No,733,COLL,USAA,15000,NC
AUTO-1265,31,FEMALE,Divorced,2021,BMW,X5,16013,11,,0,TRUE,683,Liability,American Family,1200,MI
AUTO-1266,61,Male,Widowed,2002,Frod,Focus,23991,43,0,1,No,492,COMP,Travelers,500,CA
AUTO-1267,69,F,Widowed,2021,Frod,F-150,3834,50,0,1,N,714,COLL,State Farm,500,WA
AUTO-1268,64,fe,Married,2021,,X5,18588,46,1,1,Y,485,Collision,Geico,15000,OH
AUTO-1269,65,male,Married,2021,Frod,F-150,10282,47,0,3,No,730,Collision ,USAA,1200,MO
AUTO-1270,36,FEMALE,Single,2015,Toyota,RAV4,22122,16,1,0,N,499,Liability,Geico,7500,MA
AUTO-1271,37,FEMALE,Single,2004,Honda,Civic,14228,18,1,1,Y,623,LIAB,Progressive,0,TN
AUTO-1272,39,fe,Married,2010,Toyota,Camry,17812,21,0,0,TRUE,462,COLL,Geico,0,MD
AUTO-1273,45,fe,Widowed,2012,Chevrolet,Malibu,15560,29,0,2,Y,682,Comprehensive,USAA,500,TX
AUTO-1274,61,Male,Married,2007,Frod,Focus,7224,45,1,2,TRUE,613,COMP,Geico,0,MI
AUTO-1275,36,FEMALE,Divorced,2013,Honda,Accord,19062,18,0,0,N,319,COMP,Allstate,0,IL
AUTO-1276,64,Male,Married,2003,Frod,F-150,15294,46,1,2,Yes,349,LIAB,Geico,0,CA
AUTO-1277,62,Male,Widowed,2014,Chevrolet,Silverado,20933,44,1,3,Y,510,LIAB,State Farm,1200,VA
AUTO-1278,60,Male,Divorced,2019,Jeep,Wrangler,16724,44,1,3,TRUE,420,Collision,Geico,0,TN
AUTO-1279,30,F,Married,2024,Ford,Escape,9608,12,2,1,No,464,Comprehensive,Travelers,15000,IL
AUTO-1280,62,FEMALE,Divorced,2007,Toyota,Camry,5916,46,1,3,N,452,Comprehensive,Travelers,0,FL
AUTO-1281,75,male,Married,2014,Ford,Focus,18213,59,0,0,Yes ,597,Collision,USAA,7500,FL
AUTO-1282,24,Male,Single,2004,Honda,Accord,14715,5,1,1,Yes,681,Collision,Progressive,0,CO
AUTO-1283,43,FEMALE,Divorced,2012,Nissan,Sentra,24261,26,0,0,Yes,463,Comprehensive,Liberty Mutual,15000,MO
AUTO-1284,61,FEMALE,Married,2019,Chevrolet,Malibu,23032,45,2,3,Y,794,COLL,Geico,7500,NJ
AUTO-1285,20,Male,Divorced,2020,Frod,F-150,20197,0,2,2,Y,646,Liability,Travelers,0,VA
AUTO-1286,60,fe,Married,2015,Frod,Focus,7871,40,1,0,Yes,460,Liability,Nationwide,15000,PA
AUTO-1287,22,FEMALE,Divorced,2007,Frod,Focus,4649,2,0,2,N,712,COMP,Geico,15000,NJ
AUTO-1288,69,F,Widowed,2002,Nissan,Sentra,13356,53,1,3,Yes,405,COLL,,0,IN
AUTO-1289,53,Male,Single,2019,Jeep,Grand Cherokee,19657,33,0,3,N,649,Collision,State Farm,500,NJ
AUTO-1290,39,F,Widowed,2022,Frod,Focus,6736,23,2,0,Yes,649,Collision,Farmers,3000,FL
AUTO-1291,20,M,Widowed,2004,Chevrolet,Silverado,11332,0,0,0,Yes,702,COMP,Nationwide,500,WA
AUTO-1292,24,FEMALE,Single,2020,Jeep,Wrangler,17762,5,2,2,TRUE,437,COLL,State Farm,0,IN
AUTO-1293,45,F,Widowed,2016,Honda,CR-V,21958,28,2,0,Yes,696,LIAB,American Family,3000,MA
AUTO-1294,74,FEMALE,Widowed,2019,Honnda,Accord,16037,56,0,1,Y,441,COLL,American Family,1200,IN
AUTO-1295,73,male,Married,2006,Honnda,Accord,14314,56,2,3,Y,815,Liability,USAA,0,AZ
AUTO-1296,53,FEMALE,Widowed,2021,BMW,5 Series,16840,37,1,0,Yes,690,COMP,State Farm,0,IL
AUTO-1297,35,M,Divorced,2021,Ford,F-150,5032,17,0,2,Yes,667,COLL,Geico,500,IN
AUTO-1298,42,M,Divorced,2022,Toyota,Corolla,15699,23,2,1,TRUE,355,Comprehensive,Farmers,500,MD
AUTO-1299,73,FEMALE,Married,2020,Frod,F-150,9340,55,1,0,Yes,491,COMP,Travelers,0,CO
AUTO-1300,20,FEMALE,Divorced,2017,Ford,F-150,8273,0,0,0,No,777,LIAB,Progressive,0,OH
AUTO-1301,38,F,Single,2024,Jeep,Grand Cherokee,19074,18,1,1,Yes,625,Liability,Allstate,0,MA
AUTO-1302,22,F,Married,2013,BMW,X5,16219,6,0,0,Y,639,Collision,USAA,1200,IL
AUTO-1303,66,F,Widowed,2017,Toyota,Camry,24919,48,1,0,TRUE,549,Comprehensive,USAA,7500,FL
AUTO-1304,42,male,Divorced,2000,BMW,5 Series,19852,22,1,1,Yes,603,LIAB,Allstate,3000,MA
AUTO-1305,23,Male,Married,2024,BMW,X5,3240,7,0,3,Y,734,Comprehensive,Allstate,7500,NY
AUTO-1306,65,fe,Married,2000,Nissan,Rogue,13869,,0,0,Yes,482,Collision,Travelers,0,MO
AUTO-1307,70,M,Divorced,2013,Chevrolet,Malibu,23650,51,1,1,Yes,698,LIAB,Geico,0,MD
AUTO-1308,22,fe,Single,2022,Toyta,Corolla,19476,6,0,3,No,388,Collision,Nationwide,7500,CO
AUTO-1309,70,fe,Single,2015,Honda,CR-V,10204,53,2,1,TRUE,602,LIAB,Progressive,1200,AZ
AUTO-1310,18,F,Married,2003,Toyota,Camry,21766,0,1,2,TRUE,387,Collision,Allstate,3000,IL
AUTO-1311,44,fe,Married,2005,Honda,Civic,23214,26,0,0,Y,355,Liability,Nationwide,0,MI
AUTO-1312,60,Male,Divorced,2003,Honnda,Accord,13841,42,0,3,Y,402,Collision,American Family,0,IL
AUTO-1313,38,FEMALE,Widowed,2010,Jeep,Grand Cherokee,22142,21,1,2,No,623,COLL,Progressive,0,WA
AUTO-1314,33,M,Widowed,2008,Frod,F-150,13864,14,1,1,No,612,COLL,Travelers,0,PA
AUTO-1315,59,F,Single,2008,Honda,CR-V,9436,41,2,3,Yes,377,Comprehensive,Travelers,0,MO
AUTO-1316,55,FEMALE,Married,2001,BMW,5 Series,20808,35,1,3,Y,674,COLL,Allstate,1200,OH
AUTO-1317,47,F,Single,2012, Frod ,F-150,24714,30,1,3,Y,826,COMP,Nationwide,,PA
AUTO-1318,54,F,Married,2023,Nissan,Sentra,4324,37,1,0,Yes,570,Collision,Allstate,0,IL
AUTO-1319,51,male,Widowed,2015,Nissan,Altima,4307,33,0,3,TRUE,580,LIAB,Farmers,0,CO
AUTO-1320,59,FEMALE,Divorced,2018,Toyta,Corolla,15331,42,1,1,No,653,COLL,Nationwide,0,MA
AUTO-1321,74,M,Widowed,2005,Honnda,Civic,19860,56,0,0,Y,461,Collision,American Family,0,GA
AUTO-1322,44,male,Single,2015,Nissan,Sentra,9904,24,0,3,N,322,COMP,State Farm,0,MO
AUTO-1323,55,M,Married,2020,BMW,3 Series,21752,38,0,0,No,484,Liability,Liberty Mutual,0,MI
AUTO-1324,23,M,Widowed,2019,Nissan,Sentra,8589,6,1,2,Y,486,Liability,Travelers,1200,PA
AUTO-1325,64,fe,Divorced,2014,Jeep,Wrangler,10530,45,1,0,Yes,316,COMP,Travelers,7500,OH
AUTO-1326,56,Male,Married,2015,Jeep,Wrangler,20413,36,0,0,N,433,Liability,Travelers,0,VA
AUTO-1327,51,FEMALE,Divorced,2001,BMW,5 Series,10519,32,1,1,TRUE,400,COLL,Progressive,1200,TN
AUTO-1328,67,M,Single,2009,Jeep,Grand Cherokee,11447,50,0,3,Yes,835,Comprehensive,Travelers,0,CO
AUTO-1329,59,M,Divorced,2013,Frod,F-150,8071,40,2,2,No,567,Liability,Liberty Mutual,3000,MD
AUTO-1330,35,fe,Widowed,2024,Honnda,Accord,21091,15,1,0,No,795,Collision,Farmers,3000,CO
AUTO-1331,65,M,Single,2023,Honnda,Accord,8301,49,0,2,N,646,Liability,American Family,0,PA
AUTO-1332,42,fe,Single,2002,Honda,Accord,22668,23,0,0,No,527,Collision,Geico,0,CO
AUTO-1333,43,F,Divorced,2022,Jeep,Wrangler,8743,24,1,0,Y,830,Collision,Allstate,0,MD
AUTO-1334,50,F,Married,2019,Honda,CR-V,4181,32,0,3,Yes,461,Comprehensive,Farmers,7500,AZ
AUTO-1335,19,FEMALE,Widowed,2018,Honnda,Civic,5248,24,1,1,TRUE,656,Collision,Farmers,500,MD
AUTO-1336,30,FEMALE,Widowed,2018,Toyota,Corolla,8735,11,1,0,TRUE ,374,Liability,Farmers,3000,FL
AUTO-1337,69,F,Divorced,2017,Jeep,Grand Cherokee,17508,50,1,1,Y,647,COLL,Nationwide,0,TN
AUTO-1338,25,male,Single,2012,Honnda,Civic,13345,6,0,2,TRUE,309,LIAB,Farmers,500,MI
AUTO-1339,23,FEMALE,Divorced,2002,BMW,3 Series,18615,5,0,0,TRUE,575,COMP,Allstate,15000,IL
AUTO-1340,33,fe,Married,2008,Honnda,Civic,9644,16,1,1,Y,409,Comprehensive,Geico,15000,MD
AUTO-1341,18,F,Single,2015,Frod,Focus,19133,0,0,1,Y,823,Collision,Liberty Mutual,500,MO
AUTO-1342,26,Male,Widowed,2015,BMW,3 Series,19465,8,1,3,Y,768,Comprehensive,Travelers,15000,WA
AUTO-1343,62,Male,Single,2021,Honnda,Accord,22038,46,0,1,TRUE,565,COMP,Travelers,1200,GA
AUTO-1344,35,FEMALE,Divorced,2011,Honda,Accord,16891,18,1,3,No,673,COLL,Farmers,15000,PA
AUTO-1345,54,M,Married,2003,Ford,F-150,21197,35,1,0,Y,453,COLL,State Farm,0,VA
AUTO-1346,49,M,Divorced,2015,Ford,Focus,21420,29,0,1,Yes,467,Comprehensive,Allstate,1200,TN
AUTO-1347,71,fe,Single,2014,Frod,Focus,14828,53,1,2,No,652,Comprehensive,Liberty Mutual,0,AZ
AUTO-1348,73,fe,Married,2018,Jeep,Wrangler,12326,55,0,3,TRUE,799,LIAB,Nationwide,0,CO
AUTO-1349,57,male,Widowed,2020,Honda,Civic,23990,39,1,3,TRUE,714,Comprehensive,Geico,0,WA
